,loss,accuracy,recall,precision,f1,val_loss,val_accuracy,val_recall,val_precision,val_f1
0,1.1915,0.525,0.0546,0.5833,0.09985320583163507,0.814,0.5666,0.1487,0.8557,0.25337035045798484
1,0.7062,0.6464,0.353,0.8681,0.5019069691261977,0.707,0.6558,0.49,0.7326,0.5872304923932603
2,0.6144,0.7424,0.6263,0.8248,0.7119733167941561,0.6798,0.6721,0.6113,0.6973,0.651474079168577
3,0.5733,0.77,0.7185,0.8024,0.7581358406206851,0.6688,0.6623,0.6206,0.6749,0.6466120262446932
4,0.5455,0.7911,0.7379,0.8258,0.7793794461853296,0.6562,0.6705,0.6331,0.6853,0.6581666110436893
5,0.5235,0.8063,0.761,0.8362,0.7968297019784624,0.6496,0.6851,0.6431,0.7033,0.6718541740938799
6,0.5063,0.8228,0.7818,0.8525,0.8156207550633299,0.6385,0.6916,0.6294,0.723,0.672960958296362
7,0.4905,0.8311,0.7836,0.8648,0.8222000485319098,0.626,0.7094,0.6475,0.7391,0.6902744122313572
8,0.4759,0.8471,0.7958,0.8893,0.8399560144798529,0.6215,0.6851,0.7306,0.6698,0.6988801485289917
9,0.4651,0.8543,0.8124,0.8885,0.8487476042095361,0.613,0.6851,0.6912,0.684,0.6875811518324608
10,0.455,0.8669,0.8328,0.8955,0.8630126714112134,0.608,0.6867,0.6756,0.6879,0.6816945214521452
11,0.4449,0.8757,0.8484,0.8978,0.8724012369717101,0.6131,0.7078,0.55,0.8008,0.6521172638436482
12,0.4371,0.8803,0.8491,0.9034,0.8754087760342367,0.6068,0.711,0.5894,0.7808,0.671731893154284
13,0.4292,0.8803,0.8501,0.906,0.8771602983884744,0.5957,0.7127,0.7119,0.7133,0.7125993123772102
14,0.4209,0.8936,0.871,0.9111,0.8905988440603781,0.5918,0.7127,0.6506,0.7426,0.6935623887453345
15,0.4159,0.8924,0.8717,0.9139,0.8923013328853047,0.5898,0.7143,0.6569,0.7439,0.6976983295259852
16,0.4083,0.8994,0.8774,0.9176,0.8970498495821727,0.5885,0.7192,0.6931,0.7305,0.7113087243607756
17,0.4031,0.8975,0.8804,0.9132,0.8965000892060659,0.5963,0.7208,0.7406,0.7146,0.7273677295217154
18,0.3983,0.9001,0.8799,0.9144,0.8968183246948671,0.5932,0.7175,0.5987,0.7839,0.6788961811080573
19,0.3934,0.9023,0.8892,0.9146,0.9017211664264332,0.5909,0.7192,0.6381,0.762,0.6945678165845296
20,0.3882,0.9043,0.8921,0.9151,0.9034536409915892,0.586,0.7175,0.6744,0.7413,0.7062692943420217
21,0.3836,0.9045,0.8895,0.9176,0.9033315256488296,0.587,0.7143,0.6712,0.7386,0.7032888636686054
22,0.3793,0.9108,0.8991,0.9216,0.9102109738012852,0.5875,0.7159,0.6806,0.7316,0.7051790964452628
23,0.375,0.9069,0.8965,0.9169,0.9065852542185948,0.592,0.7224,0.6306,0.7711,0.6938084611543127
24,0.3716,0.913,0.9062,0.9186,0.9123578693555457,0.5857,0.7127,0.6744,0.7338,0.7028472092032382
